component,variance_share,cumulative_share
1,0.44274230918130064,0.44274230918130064
2,0.17625656202333934,0.6189988712046399
3,0.10771132139933406,0.726710192603974
4,0.06685016116427013,0.7935603537682441
5,0.0557013464695363,0.8492617002377804
6,0.046352256928558246,0.8956139571663386
7,0.029616049368717888,0.9252300065350565
8,0.018712977704151493,0.943942984239208
9,0.015311717107979756,0.9592547013471877
10,0.012743357803305651,0.9719980591504933
11,0.009389544789779136,0.9813876039402725
12,0.0073693803783131725,0.9887569843185856
13,0.004841243424484432,0.99359822774307
14,0.0031499388290764374,0.9967481665721465
15,0.002565109278344773,0.9993132758504912
16,0.0006867241495084975,0.9999999999999998
17,7.036630817864935e-18,0.9999999999999998
